Data,Dataset,Model,Link,rho,alpha,pzip_beta_0,pzip_beta_dose,pzip_beta_dose2,pzip_gamma_0,pzip_gamma_dose,nb_beta_0,nb_beta_dose,nb_beta_dose2,nb_gamma_0,nb_gamma_dose,shared_gamma_0,shared_gamma_dose,CovarianceStatus
C2,C2,Poisson,identity,,,0.0008700876676471,0.0684710982388506,0.0125485031173129,,,,,,,,,,inverse
C2,C2,Poisson,log,,,-3.3007957045916942,0.9182560965351312,-0.0682431333266471,,,,,,,,,,inverse
C2,C2,NB,identity,,4.966954990220567,,,,,,-0.0076927449346978,0.07847259061608,0.0104973681214455,,,,,inverse
C2,C2,NB,log,,4.978612674064964,,,,,,-3.3726602149761,0.980883060391854,-0.0785923083183912,,,,,inverse
C2,C2,ZIP,identity,,,0.1061362560067076,-0.0006174176807554,0.1286439895177511,0.4215913397352152,0.2052760683995154,,,,,,,,inverse
C2,C2,ZIP,log,,,-2.421423429616787,1.083332719512604,-0.0710037139331024,0.4239931963916388,0.2018789948678608,,,,,,,,inverse
C2,C2,ZINB,identity,,3.5366074964306452e-09,,,,,,0.1064423554890996,-0.0008560231425459,0.1286803956963811,0.4220109298770167,0.2051677004837848,,,singular_pinv_rank_5_of_6
C2,C2,ZINB,log,,2.110843908754275e-09,,,,,,-2.421412710218758,1.0833282969959088,-0.0710032681835143,0.423998787593293,0.2018775501883561,,,singular_pinv_rank_5_of_6
C2,C2,P+NB,identity,0.20320613179058586,5.455376069826058,-0.0568526683218638,0.2102486718786527,0.0940908850750179,,,0.0271286400776915,0.0169271349270911,-0.0044378111193614,,,,,inverse
C2,C2,P+NB,log,0.20749063771241247,8.458107691923473,-2.1956263950063866,0.9797329936555544,-0.0589631522780525,,,-6.594599220109564,3.975781073096487,-0.9362641388642308,,,,,inverse
C2,C2,Z+P+NB,identity,0.7987716825688396,7.635742443559405e-07,0.1012595055166221,-0.0014386219405871,0.1305952043962863,,,0.0768454970388491,-0.0640379058656974,0.0128075811731398,,,0.0489308071210017,0.2269479652053679,indefinite_pinv_rank_8_of_10
C2,C2,Z+P+NB,log,0.8065846498589536,6.192917876817449e-08,-2.6754861982716904,1.158661423444847,-0.0752534079066972,,,-4.697400989425679,4.666614876247174,-1.122950480470604,,,0.4675020378281198,0.1349438913631703,singular_pinv_rank_9_of_10
C2,C2,ZIP--ZINB,identity,0.9406596933769992,7.625202215475759e-07,0.4018788784385554,-0.350701434616132,0.1962737916297376,0.4528121437842667,0.1904477808628398,4.63921736886357,-2.209574499384215,0.2624425399170805,13.725710114684995,-7.7451420229369985,,,singular_pinv_rank_11_of_12
C2,C2,ZIP--ZINB,log,0.2105728387537979,2.155949263830404e-09,-5.137043982789676,2.3705998791866865,-0.2196573838893281,-13.629003734617571,2.201250644845107,-4.259937712046346,3.5292111281511813,-0.7108459702240485,-0.3701326028210442,0.8881628862334651,,,singular_pinv_rank_10_of_12
C3,C3,Poisson,identity,,,-0.1075406342169213,0.2118469097864828,0.0057488469958429,,,,,,,,,,inverse
C3,C3,Poisson,log,,,-3.36882453230362,1.3573213767396766,-0.134902064930841,,,,,,,,,,inverse
C3,C3,NB,identity,,1.9180290062535854,,,,,,-0.1029339878257718,0.2063525903214173,0.0068880157469957,,,,,inverse
C3,C3,NB,log,,1.9222671699136888,,,,,,-3.4219644800896054,1.4019349405619637,-0.142143584387019,,,,,inverse
C3,C3,ZIP,identity,,,-0.0564910697557513,0.1431161800377182,0.0950055085356465,-0.6996717854811252,0.2592693159476427,,,,,,,,inverse
C3,C3,ZIP,log,,,-3.0586296577924053,1.5054094208294178,-0.1358892180436034,-0.770436540357648,0.277050902509357,,,,,,,,inverse
C3,C3,ZINB,identity,,0.04023968476467549,,,,,,-0.0437137698600453,0.1221133146281338,0.0972969912178839,-0.8061727007065019,0.2775388081124764,,,inverse
C3,C3,ZINB,log,,0.03430460286832667,,,,,,-3.086041866074288,1.5054746143315898,-0.1352064922912389,-0.8562561482287923,0.2914934085653167,,,inverse
C3,C3,P+NB,identity,0.3648827030367116,0.38402209148693284,-0.6318913432835839,0.621464372971858,0.02275602645743,,,0.2151350017336821,-0.049501947607947,0.001760303205579,,,,,inverse
C3,C3,P+NB,log,0.3693850276532181,1.3670847630919094,-2.645749326147066,1.3599776669002686,-0.123133572781381,,,-6.684771335436815,4.097591597103365,-0.863853170276249,,,,,inverse
C3,C3,Z+P+NB,identity,0.36288329388602175,0.004817242032902563,0.4207711619752923,-0.1553467224221778,0.0169064085850345,,,-0.3664320094380241,0.3665784956927502,0.0652368702298812,,,-1.4506942581261246,0.2549002849052542,inverse
C3,C3,Z+P+NB,log,0.34251523256355465,0.023486008117612037,-3.779046443051464,3.30616400961734,-0.8080238662780392,,,-3.798996513043204,1.9136354513158584,-0.1884362997787666,,,-0.5665457631463525,0.0612919627474546,inverse
C3,C3,ZIP--ZINB,identity,0.40886004975331636,0.004890584269200271,1.2132524952325243,-0.5852061329523767,0.0704732529110613,13.475271583620218,-6.370994602668201,0.0238726199991252,0.0900502151210709,0.1077716132597451,-1.9704056958437903,0.3295264751884451,,,singular_pinv_rank_11_of_12
C3,C3,ZIP--ZINB,log,0.6140024702010313,0.020343628624194084,-3.5517244376834167,3.1377201296846717,-0.8195597885472415,1.5557651012793088,-0.4737629448881401,-3.2797918291587576,1.6546260973438125,-0.1571285445858173,-25.0,4.410170584033997,,,singular_pinv_rank_11_of_12
