Scenario,Dataset,Rep,Bin,DoseMin,DoseMax,n,ObservedZeroRate,FittedZeroProbability
D3,Dataset 3,0,1,0.00013104294228805102,0.3053802130372707,2000,0.1765,0.1645919280397258
D3,Dataset 3,0,2,0.3054905858352329,0.6070259857352327,2000,0.236,0.24526934207033654
D3,Dataset 3,0,3,0.6070946817000786,0.8998089257078613,2000,0.3605,0.3633072469954801
D3,Dataset 3,0,4,0.8999902998543198,1.205804562816009,2000,0.5245,0.5147388396700115
D3,Dataset 3,0,5,1.2064466453235685,1.514621727896253,2000,0.649,0.6689721546160529
D3,Dataset 3,0,6,1.5146274145237149,1.808154259093473,2000,0.801,0.7936077511193
D3,Dataset 3,0,7,1.8082249498998961,2.1168074866151882,2000,0.8855,0.8794814007885049
D3,Dataset 3,0,8,2.1171107526610347,2.405987817012514,2000,0.938,0.9343711255804519
D3,Dataset 3,0,9,2.406146869378893,2.7056124300179265,2000,0.9655,0.9668037255525799
D3,Dataset 3,0,10,2.7057288923826484,2.999829525499235,2000,0.9835,0.9864047289763518
D3,Dataset 3,1,1,2.2341895270505674e-05,0.2933219826851632,2000,0.171,0.17015090520817716
D3,Dataset 3,1,2,0.2937639898862331,0.5970103478727539,2000,0.249,0.24878433478137896
D3,Dataset 3,1,3,0.5970512556504248,0.8994672781474733,2000,0.3655,0.366248092632255
D3,Dataset 3,1,4,0.8995617991699849,1.200852438323332,2000,0.5155,0.5140374568715446
D3,Dataset 3,1,5,1.2009132204077324,1.4982182392302978,2000,0.673,0.6663602366014396
D3,Dataset 3,1,6,1.4982443049258436,1.7959874106492102,2000,0.7785,0.7896207801055222
D3,Dataset 3,1,7,1.7962161167919657,2.0967388936096945,2000,0.881,0.8794444755710712
D3,Dataset 3,1,8,2.0968939115874834,2.3954422503019526,2000,0.9315,0.935861445419466
D3,Dataset 3,1,9,2.395971429464173,2.6931635660404245,2000,0.974,0.9694623341277991
D3,Dataset 3,1,10,2.693319006382629,2.999970461865378,2000,0.9905,0.9889393916360523
