Dataset,Link,Model,mean_mean_test_log_score,sd_mean_test_log_score,n_mean_test_log_score
C3,identity,Poisson,-0.8073786300868869,0.03623469231266061,5
C3,identity,NB,-0.7296875496086157,0.029820936727071434,5
C3,identity,ZIP,-0.7165444876655738,0.02413020851047558,5
C3,identity,ZINB,-0.7165215708333145,0.024279225075542032,5
C3,identity,P+NB,-0.7160147716543634,0.024002780099563602,5
C3,identity,Z+P+NB,-0.7164388900662275,0.02432838752883642,5
C3,identity,ZIP--ZINB,-0.7173613756284684,0.024862396616532036,5
C2,identity,Poisson,-0.644567201602523,0.022898474184341835,5
C2,identity,NB,-0.5341686938083046,0.02283181323348255,5
C2,identity,ZIP,-0.5148294809619356,0.023618546303271957,5
C2,identity,ZINB,-0.514829450440515,0.023618565306991364,5
C2,identity,P+NB,-0.5159187289988422,0.02353658952292428,5
C2,identity,Z+P+NB,-0.5149247566611403,0.023523705138281448,5
C2,identity,ZIP--ZINB,-0.5152440365975754,0.023152828786847015,5
C2,log,Poisson,-0.6161338413894921,0.06362001299175533,5
C2,log,NB,-0.5104892342471037,0.046191670661810576,5
C2,log,ZIP,-0.4931705741055564,0.04344658687338574,5
C2,log,ZINB,-0.4931705102513667,0.043446563811241054,5
C2,log,P+NB,-0.49455022010159827,0.04365443800843954,5
C2,log,Z+P+NB,-0.49318965493131667,0.04357273976598056,5
C2,log,ZIP--ZINB,-0.49317749441003,0.043651039809788454,5
H2AX1H60,identity,Poisson,-2.6908716392097265,0.133861579252386,5
H2AX1H60,identity,NB,-2.1500645372376592,0.08206456241125765,5
H2AX1H60,identity,ZIP,-1.9985510766916927,0.09402629000925068,5
H2AX1H60,identity,ZINB,-1.9878040439923859,0.08709597796359343,5
H2AX1H60,identity,P+NB,-1.9773192587349613,0.07865493574112865,5
H2AX1H60,identity,Z+P+NB,-1.9643607539384331,0.08179596761788752,5
H2AX1H60,identity,ZIP--ZINB,-1.9366270687022002,0.0837066473758436,5
H2AX1H60,log,Poisson,-2.639072124821351,0.07854030799556809,5
H2AX1H60,log,NB,-2.101313284532586,0.10645477028597568,5
H2AX1H60,log,ZIP,-1.9868973758286834,0.05182532309162254,5
H2AX1H60,log,ZINB,-1.97033875824,0.061925883944726756,5
H2AX1H60,log,P+NB,-1.9250315915549305,0.05945870909988019,5
H2AX1H60,log,Z+P+NB,-1.9252747028174624,0.06052097254825136,5
H2AX1H60,log,ZIP--ZINB,-1.9108036252089384,0.057566734825656544,5
H2AX4H100,identity,Poisson,-2.2526931704842967,0.04844580197963173,5
H2AX4H100,identity,NB,-2.2448235386153472,0.04386843194005043,5
H2AX4H100,identity,ZIP,-2.0952030807096875,0.018612079382983704,5
H2AX4H100,identity,ZINB,-2.0952022608661514,0.01861211819326607,5
H2AX4H100,identity,P+NB,-2.0947389829544663,0.013099913818931623,5
H2AX4H100,identity,Z+P+NB,-2.095202980485804,0.018612040343308257,5
H2AX4H100,identity,ZIP--ZINB,-2.095387330136294,0.023743373962390665,5
H2AX4H100,log,Poisson,-2.250525082170372,0.06571419861120327,5
H2AX4H100,log,NB,-2.2439323888743585,0.060013977180230334,5
H2AX4H100,log,ZIP,-2.0646454512525034,0.04315152405820086,5
H2AX4H100,log,ZINB,-2.0646448360698217,0.043151524185734313,5
H2AX4H100,log,P+NB,-2.0665691780490936,0.043331610563621475,5
H2AX4H100,log,Z+P+NB,-2.0646457493017785,0.0431521133103611,5
H2AX4H100,log,ZIP--ZINB,-2.0583404991689216,0.045891109379850976,5
C3,log,Poisson,-0.7923941182810437,0.015234234022012294,5
C3,log,NB,-0.7168769813940464,0.011011656381791472,5
C3,log,ZIP,-0.7010812019793502,0.011517144859025418,5
C3,log,ZINB,-0.7009987001517372,0.011523430342429858,5
C3,log,P+NB,-0.7009042385965526,0.01294984776988274,5
C3,log,Z+P+NB,-0.7011945118464231,0.01282372081427057,5
C3,log,ZIP--ZINB,-0.7013050530489247,0.012657485199792987,5
