"Dataset","Block","MinCoverage","MedianCoverage","MedianMeanSE","MaxMeanSE","N"
"Dataset 1","Scalar",0.94,0.955,0.065264079856083,0.102816543633526,100
"Dataset 1","$\beta$",0.93,0.95,0.152880051617087,0.460893524661105,100
"Dataset 1","$\gamma$",0.94,0.95,0.174489274269512,0.454152721787994,100
"Dataset 2","Scalar",0.94,0.97,0.0543006924622549,0.197550178104795,100
"Dataset 2","$\beta$",0.91,0.935,0.480550222332991,0.675734760032086,100
"Dataset 2","$\gamma$",0.89,0.935,0.213215714103783,0.331615512844334,100
"Dataset 3","Scalar",0.9,0.92,0.0509618952887903,0.122305974545266,100
"Dataset 3","$\beta$",0.91,0.95,0.212187132795318,0.430432508662389,100
"Dataset 3","$\gamma$",0.91,0.935,0.181128271897386,0.354016071255607,100
"Dataset 4","Scalar",0.85,0.905,0.0546905118203662,0.109804288646591,100
"Dataset 4","$\beta$",0.93,0.96,0.13409941694591,0.158354189723218,100
"Dataset 4","$\gamma$",0.89,0.92,0.204722534737852,0.454928570673464,100
