Scenario,Dataset,Parameter,true,mean_estimate,empirical_sd,rmse,n_success
D1,Dataset 1,rho,0.7000000000000002,0.7004043835775985,0.012378673767380537,0.012323261527480223,100
D1,Dataset 1,lambda,3.500091958124524,3.500446674409956,0.036049521154028055,0.035285651072077324,100
D1,Dataset 1,pi,0.3954680598493776,0.3958548059050015,0.007912277457686414,0.007692870554930518,100
D1,Dataset 1,varphi,9.250321853435832,9.263969550089126,0.37922900907563084,0.3766012306430774,100
D1,Dataset 1,alpha,1.5,1.4969421407240227,0.10128917380194438,0.10082783477560833,100
D1,Dataset 1,omega,0.14588306244101593,0.14719433443684415,0.018238512891280034,0.018025606219092948,100
D2,Dataset 2,rho,0.5,0.4912739824040331,0.056631237339100304,0.05701902713320401,100
D2,Dataset 2,lambda,4.249903083568823,4.291138145463338,0.8891091999360571,0.8852176125258892,100
D2,Dataset 2,pi,0.9306752598911672,0.9270179149430412,0.009347389423894856,0.010023672087676062,100
D2,Dataset 2,varphi,13.750484582155886,13.721275675300644,0.5407236998825514,0.538980936152036,100
D2,Dataset 2,alpha,1.0,0.991329311643628,0.04200602831572466,0.04268538610913775,100
D2,Dataset 2,omega,0.6909054509304571,0.6950843627966503,0.03017931472966398,0.030127400363427287,100
D3,Dataset 3,rho,0.3999999999999999,0.37442236124384437,0.035941075043456096,0.04396656537491808,100
D3,Dataset 3,lambda,3.2650052212754526,3.3770197868958762,0.047794353328314464,0.12071282075636092,100
D3,Dataset 3,pi,0.5753738695561111,0.5460255748344782,0.034846745521783386,0.045579149897705146,100
D3,Dataset 3,varphi,11.751713697263627,12.120895937351692,0.5923765561359516,0.6937315997770152,100
D3,Dataset 3,alpha,1.0,0.9711338691587388,0.058065417712808064,0.06458428846527668,100
D3,Dataset 3,omega,0.6573303996386102,0.6747939039444621,0.020178085210333273,0.026333641394315935,100
D4,Dataset 4,rho,0.3,0.2925046579735598,0.03137964761868322,0.03210943185295132,100
D4,Dataset 4,lambda,7.251028218358175,7.248982535193835,0.08510251558051159,0.0849311574726493,100
D4,Dataset 4,pi,0.395574058724842,0.3781316986512129,0.05794705709084665,0.060311948125592145,100
D4,Dataset 4,varphi,4.499314521094551,4.500749502832004,0.10651366842901722,0.10527301861258753,100
D4,Dataset 4,alpha,1.0,0.9892514302643609,0.04748394587060358,0.04845316930449322,100
D4,Dataset 4,omega,0.39534638007908846,0.40002335884887325,0.018713713935948607,0.018921094628489364,100
