Scenario,Dataset,RestrictedModel,rejection_rate,n_tests
D1,Dataset 1,Poisson,1.0,100
D1,Dataset 1,NB,1.0,100
D1,Dataset 1,P+NB,1.0,100
D1,Dataset 1,ZIP,1.0,100
D1,Dataset 1,ZINB,1.0,100
D1,Dataset 1,Z+P+NB,1.0,100
D2,Dataset 2,Poisson,1.0,100
D2,Dataset 2,NB,1.0,100
D2,Dataset 2,P+NB,1.0,100
D2,Dataset 2,ZIP,1.0,100
D2,Dataset 2,ZINB,1.0,100
D2,Dataset 2,Z+P+NB,0.99,100
D3,Dataset 3,Poisson,1.0,100
D3,Dataset 3,NB,1.0,100
D3,Dataset 3,P+NB,1.0,100
D3,Dataset 3,ZIP,1.0,100
D3,Dataset 3,ZINB,1.0,100
D3,Dataset 3,Z+P+NB,1.0,100
D4,Dataset 4,Poisson,1.0,100
D4,Dataset 4,NB,1.0,100
D4,Dataset 4,P+NB,1.0,100
D4,Dataset 4,ZIP,1.0,100
D4,Dataset 4,ZINB,1.0,100
D4,Dataset 4,Z+P+NB,1.0,100
